Yield,CapUt M,CorpP M,PERatio M,CAPE M,aCDebt M,aTobinQ M,ISM_PMI,Manu M,Momen5,Moving Average,spy_Price,Daily_Return,Result
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,-0.133902419,-0.021609935,17.07,0.028705272,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,-0.167182981,-0.021609935,17.09,0.027501404,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,-0.166888341,-0.021609935,17.120001,0.019859695,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.041407039,-0.021609935,17.25,0.016231942,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.212853037,-0.021609935,17.450001,-0.000573066,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.343053173,-0.021609935,17.49,-0.010863408,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.294720409,-0.021609935,17.450001,-0.009169054,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.262123183,-0.021609935,17.440001,0.00516055,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.163733924,-0.021609935,17.450001,0.005730544,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.081398458,-0.021609935,17.549999,0.004558405,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.056946798,-0.021609935,17.559999,0.012528588,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.089487477,-0.021609935,17.559999,0.016514864,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.016362298,-0.021609935,17.459999,0.016609451,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,0.065194357,-0.021609935,17.530001,0.023388476,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,-0.090103206,-0.021609935,17.440001,0.030963244,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,-0.214698609,-0.021609935,17.299999,0.038150291,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.806666667,1,-0.22308352,-0.021609935,17.290001,0.034123653,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.057046692,-0.021609935,17.530001,0.028522531,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.016278389,-0.021609935,17.549999,0.02849003,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.153956738,-0.021609935,17.629999,0.017016507,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.385667663,-0.021609935,17.780001,0.010123621,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.448178471,-0.021609935,17.85,-0.001120448,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.177061569,-0.021609935,17.75,0.004507042,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.310560582,-0.021609935,17.940001,-0.0100335,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.278087558,-0.021609935,17.98,-0.006674027,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.143173727,-0.021609935,17.959999,0,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.023968522,-0.021609935,17.879999,0.019015661,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.221853248,-0.021609935,18.030001,0.004437049,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.087058177,-0.021609935,18.049999,0.012188422,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.039837463,-0.021609935,17.93,0.010596821,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0,-0.021609935,17.959999,0.014476616,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.040060091,-0.021609935,17.83,0.02467751,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.160244371,-0.021609935,17.83,0.02467751,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.233268179,-0.021609935,17.76,0.029842399,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.055990238,-0.021609935,17.860001,0.024076146,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0,-0.021609935,17.959999,0.0122495,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.305785653,-0.021609935,18.219999,0.002195445,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.220873223,-0.021609935,18.110001,0.018221976,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.398780202,-0.021609935,18.27,0.013683634,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.204982644,-0.021609935,18.120001,0.024282449,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.203857624,-0.021609935,18.219999,0.025247038,1
